=================================================
Flow Counts S1/S2/S3 \(deduct 2\):
162
167
237
S1 Flows ----------->
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x539, duration=13.563s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=ba:17:e8:7c:48:7b,dl_dst=da:f8:6b:aa:bb:ac,arp_op=2 actions=output:13
 cookie=0x539, duration=14.911s, table=0, n_packets=0, n_bytes=0, priority=10,arp,in_port=3,dl_src=ca:24:75:3e:6f:5f,dl_dst=be:e7:00:4e:4d:fb,arp_op=1 actions=output:12
 cookie=0x539, duration=14.415s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=da:6f:69:44:6d:1d,dl_dst=be:e7:00:4e:4d:fb,arp_op=1 actions=output:12
 cookie=0x539, duration=13.566s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=da:6f:69:44:6d:1d,dl_dst=be:e7:00:4e:4d:fb,arp_op=2 actions=output:12
 cookie=0x539, duration=14.911s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=da:6f:69:44:6d:1d,dl_dst=ca:24:75:3e:6f:5f,arp_op=1 actions=output:11
 cookie=0x539, duration=14.415s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=da:6f:69:44:6d:1d,dl_dst=ca:24:75:3e:6f:5f,arp_op=2 actions=output:11
 cookie=0x539, duration=14.363s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=da:6f:69:44:6d:1d,dl_dst=da:f8:6b:aa:bb:ac,arp_op=1 actions=output:13
 cookie=0x539, duration=13.563s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=3,dl_src=da:6f:69:44:6d:1d,dl_dst=da:f8:6b:aa:bb:ac,arp_op=2 actions=output:13
 cookie=0x539, duration=19.877s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=11,nw_src=10.0.0.1,nw_dst=10.0.0.2,icmp_type=0 actions=output:12
 cookie=0x539, duration=19.758s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=11,nw_src=10.0.0.1,nw_dst=10.0.0.3,icmp_type=0 actions=output:13
 cookie=0x539, duration=19.606s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=11,nw_src=10.0.0.1,nw_dst=10.0.0.4,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.451s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=11,nw_src=10.0.0.1,nw_dst=10.0.0.5,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.266s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=11,nw_src=10.0.0.1,nw_dst=10.0.0.6,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.065s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=11,nw_src=10.0.0.1,nw_dst=10.0.0.7,icmp_type=0 actions=output:3
 cookie=0x539, duration=18.821s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=11,nw_src=10.0.0.1,nw_dst=10.0.0.8,icmp_type=0 actions=output:3
 cookie=0x539, duration=18.601s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=11,nw_src=10.0.0.1,nw_dst=10.0.0.9,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.969s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.1,icmp_type=0 actions=output:11
 cookie=0x539, duration=19.878s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.1,icmp_type=8 actions=output:11
 cookie=0x539, duration=19.746s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.3,icmp_type=0 actions=output:13
 cookie=0x539, duration=19.868s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.3,icmp_type=8 actions=output:13
 cookie=0x539, duration=19.582s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.4,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.857s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.4,icmp_type=8 actions=output:3
 cookie=0x539, duration=19.428s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.5,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.842s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.5,icmp_type=8 actions=output:3
 cookie=0x539, duration=19.242s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.6,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.829s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.6,icmp_type=8 actions=output:3
 cookie=0x539, duration=19.037s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.7,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.814s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.7,icmp_type=8 actions=output:3
 cookie=0x539, duration=18.791s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.8,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.800s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.8,icmp_type=8 actions=output:3
 cookie=0x539, duration=18.560s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.9,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.781s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=12,nw_src=10.0.0.2,nw_dst=10.0.0.9,icmp_type=8 actions=output:3
 cookie=0x539, duration=19.962s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.1,icmp_type=0 actions=output:11
 cookie=0x539, duration=19.769s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.1,icmp_type=8 actions=output:11
 cookie=0x539, duration=19.866s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.2,icmp_type=0 actions=output:12
 cookie=0x539, duration=19.752s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.2,icmp_type=8 actions=output:12
 cookie=0x539, duration=19.561s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.4,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.726s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.4,icmp_type=8 actions=output:3
 cookie=0x539, duration=19.406s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.5,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.714s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.5,icmp_type=8 actions=output:3
 cookie=0x539, duration=19.191s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.6,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.703s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.6,icmp_type=8 actions=output:3
 cookie=0x539, duration=19.006s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.7,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.680s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.7,icmp_type=8 actions=output:3
 cookie=0x539, duration=18.766s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.8,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.661s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.8,icmp_type=8 actions=output:3
 cookie=0x539, duration=18.524s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.9,icmp_type=0 actions=output:3
 cookie=0x539, duration=19.641s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=13,nw_src=10.0.0.3,nw_dst=10.0.0.9,icmp_type=8 actions=output:3
 cookie=0x539, duration=19.946s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=3,nw_src=10.0.0.4,nw_dst=10.0.0.1,icmp_type=0 actions=output:11
 cookie=0x539, duration=19.615s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=3,nw_src=10.0.0.4,nw_dst=10.0.0.1,icmp_type=8 actions=output:11
 cookie=0x539, duration=19.853s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=3,nw_src=10.0.0.4,nw_dst=10.0.0.2,icmp_type=0 actions=output:12
 cookie=0x539, duration=19.591s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=3,nw_src=10.0.0.4,nw_dst=10.0.0.2,icmp_type=8 actions=output:12
 cookie=0x539, duration=19.721s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=3,nw_src=10.0.0.4,nw_dst=10.0.0.3,icmp_type=0 actions=output:13
 cookie=0x539, duration=19.573s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=3,nw_src=10.0.0.4,nw_dst=10.0.0.3,icmp_type=8 actions=output:13
 cookie=0x539, duration=19.939s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=3,nw_src=10.0.0.5,nw_dst=10.0.0.1,icmp_type=0 actions=output:11
 cookie=0x539, duration=19.454s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=3,nw_src=10.0.0.5,nw_dst=10.0.0.1,icmp_type=8 actions=output:11
 cookie=0x539, duration=19.836s, table=0, n_packets=1, n_bytes=98, priority=10,icmp,in_port=3,nw_src=10.0.0.5,nw_dst=10.0.0.2,icmp_type=0 actions=output:12
